"City","S-JTSK – X","S-JTSK – Y"
"Praha",744379,1043261
"Aš",898722,1004635
"Benešov",727531,1079221
"Beroun",769833,1052795
"Bílina",780557,985694
"Boskovice",590490,1129342
"Bratislava",573006,1280236
"Brno",597475,1160280
"Broumov",600909,1005118
"Bruntál",527476,1079871
"Čáslav",675708,1070959
"Česká Lípa",725927,978427
"České Budějovice",755046,1165278
"Český Krumlov",769683,1181970
"Český Těšín",447423,1113049
"Děčín",746550,964348
"Dolný Kubín",402601,1175985
"Domažlice",859200,1097479
"Zlín",521001,1164278
"Havlíčkův Brod",666678,1105687
"Hodonín",563944,1202918
"Hořice",653055,1023312
"Hradec Králové",640890,1041574
"Cheb",888243,1021421
"Chomutov",807647,991033
"Chrudim",646755,1070746
"Ivančice",615606,1169481
"Jablunkov",438115,1132394
"Jeseník",543739,1050327
"Jičín",672143,1013491
"Jihlava",669593,1129605
"Kežmarok",320317,1183183
"Klatovy",833769,1107059
"Kolín",688324,1056296
"Komárno",501419,1329815
"Košice",262168,1240027
"Kraslice",873158,995726
"Kremnica",434884,1231180
"Krnov",509608,1068533
"Kroměříž",540819,1154930
"Levice",461256,1282997
"Levoča",309214,1202373
"Liberec",688543,974030
"Litoměřice",756266,991062
"Litomyšl",610953,1084210
"Malacky",577192,1248140
"Mariánské Lázně",866765,1038081
"Mělník",734452,1014686
"Michalovce",213019,1238391
"Mikulov",601034,1204635
"Modra",556197,1261428
"Telč",682155,1152338
"Nitra",499766,1268568
"Nové Zámky",496834,1306032
"Olomouc",547164,1120779
"Opava",497035,1088310
"Ostrava",470570,1101813
"Pelhřimov",695535,1122644
"Piešťany",515353,1235531
"Písek",774028,1125213
"Plzeň",823136,1069304
"Podbořany",811530,1016694
"Poděbrady",691414,1042821
"Prachatice",789557,1156703
"Příbor",483104,1121193
"Příbram",777848,1083481
"Prievidza",456294,1222043
"Prostějov",558248,1134569
"Rakovník",791343,1034699
"Rimavská Sobota",356332,1271989
"Roudnice",749617,1003231
"Rožňava",316367,1242810
"Rumburk",720768,949190
"Rožumberok",403671,1190773
"Rychnov nad Kněžnou",609606,1050784
"Sedlčany",748326,1089494
"Slaný",764473,1023600
"Soběslav",734195,1138170
"Sokolov",866455,1013721
"Stříbro",849249,1065269
"Sušice",820968,1127744
"Svitavy",601654,1098298
"Šahy",437844,1301581
"Šternberk",542109,1106379
"Šumperk",562160,1078271
"Tábor",735336,1119317
"Tachov ",874453,1055616
"Teplice",775448,975198
"Třebíč",650360,1152444
"Trenčín",497866,1205479
"Trutnov",630446,1003602
"Turnov",684127,995159
"Uherský Brod",524470,1188152
"Volyně",795612,1138976
"Vrchlabí",652053,995420
"Vsetín",495837,1155420
"Znojmo",642983,1194356
"Zvolen",419948,1245325
"Žilina",443615,1171004
"Blatná",792314,1109987
