"City","S-JTSK – X","S-JTSK – Y"
"Praha",744379,1043261
"Aš",898722,1004635
"Benešov",727531,1079221
"Beroun",769833,1052795
"Boskovice",590490,1129342
"Brno",597475,1160280
"Broumov",600909,1005118
"Čáslav",675708,1070959
"Česká Lípa",725927,978427
"České Budějovice",755046,1165278
"Český Krumlov",769683,1181970
"Děčín",746550,964348
"Domažlice",859200,1097479
"Zlín",521001,1164278
"Hodonín",563944,1202918
"Hradec Králové",640890,1041574
"Cheb",888243,1021421
"Chomutov",807647,991033
"Jablunkov",438115,1132394
"Jeseník",543739,1050327
"Jihlava",669593,1129605
"Kraslice",873158,995726
"Liberec",688543,974030
"Litomyšl",610953,1084210
"Mělník",734452,1014686
"Mikulov",601034,1204635
"Telč",682155,1152338
"Olomouc",547164,1120779
"Opava",497035,1088310
"Ostrava",470570,1101813
"Písek",774028,1125213
"Plzeň",823136,1069304
"Poděbrady",691414,1042821
"Příbor",483104,1121193
"Příbram",777848,1083481
"Rakovník",791343,1034699
"Rumburk",720768,949190
"Sokolov",866455,1013721
"Sušice",820968,1127744
"Šumperk",562160,1078271
"Tábor",735336,1119317
"Tachov ",874453,1055616
"Teplice",775448,975198
"Třebíč",650360,1152444
"Turnov",684127,995159
"Uherský Brod",524470,1188152
"Vrchlabí",652053,995420
"Vsetín",495837,1155420
"Znojmo",642983,1194356
"Blatná",792314,1109987
